,VRF,RF_FR,BF_WR,BF_FR
0,16.076946339771478,15.071194186522725,15.599278666392818,15.06554475847555
1,14.463804770811427,18.879000254415804,14.744068101308212,18.94352000648824
2,15.775668891358944,14.659676468079114,17.370264395243822,21.03183188425755
3,14.599273793918119,18.225794540111767,14.31310845799653,21.54890061353024
4,15.118617157114477,11.113183608400567,17.303989734549212,18.18673664257655
5,22.19604192367461,21.201081779820623,22.58004977272252,19.063469080343204
6,18.45501422090329,15.283201873295713,19.15030178356399,17.194521137296228
7,14.91853770781444,30.86679168852597,15.940226965998532,40.944284627371374
8,16.672763673873874,22.714793066820523,16.9013805189678,32.91506474501015
9,19.00443272922229,15.650510343579896,18.81083122295629,19.40350467570783
10,14.30619759105877,14.05721917472109,13.976676026504167,17.734552450247577
11,16.73051908326327,17.950920396997887,17.18722489868716,19.717049114674307
12,20.246467684843676,27.43554136221469,20.414148697693452,27.33544756380349
13,21.250780458141435,34.233398432947396,23.21927696210602,56.745109634154886
14,15.532408297469214,10.140173173972057,15.665016294490663,14.849123859153096
15,15.758142899424131,14.999401820608353,16.143331638566263,15.020240903446574
16,22.949009317418657,22.82640220621244,23.69362299887349,25.629162908282893
17,12.085967974338432,11.967944354697803,13.05109113444372,12.695883171183649
18,15.241797225249453,12.780045194692265,15.783860618782548,13.716051399761678
19,15.046028990154086,13.228137753172431,15.758764162937219,24.06294960096566
20,20.05906215405319,35.86390446564928,20.966581761176872,36.101270633436215
21,16.62784569635198,12.92115790243065,15.826163024782883,17.961885819044266
22,14.667634872217969,15.135667822253827,17.154046433486737,19.656002092647842
23,15.340336897969236,15.829957097077902,15.196254537387912,19.496239434793218
24,15.96147753640529,18.02619625711172,16.548990962062707,16.690458773824087
25,16.42178661297592,15.55106543452078,15.982131734843666,17.419758776331157
26,20.752783316721448,19.91453540986217,23.32772147180265,19.39900247349174
27,23.693015511224395,27.920964625529407,25.226300017562032,27.12321247183431
28,15.793857218476798,16.73933755710762,17.014178275118716,14.539034507864367
29,20.522614559065453,22.73414100993772,21.44759322544127,18.01091062891774
30,15.972366674877522,18.075532012514675,16.425057622485255,19.993049377932273
31,14.47572218156166,23.32888518297987,15.40828659546252,43.460066114666866
32,22.337024836885238,24.7907893845504,21.478126135152728,23.159413001897036
33,16.911625694508672,13.329853328636881,17.397258738017488,17.205971228681083
34,16.93042558421667,20.763712218391596,18.2239525571592,22.570366246160017
35,15.940859577383204,12.45492925390363,16.187661317928224,18.430417635832015
36,16.164612783367467,16.676720640137177,16.14977414630039,16.07051763706647
37,11.832998924883531,17.71297459739006,12.176843097801669,17.39506420261112
38,19.055949524614395,28.496419544560496,20.554613352520615,19.407421909976886
39,15.045733429388672,20.142237218300274,14.620011919094583,25.68714560413616
40,15.68706490519977,20.987923759157656,16.187890065262973,16.15095998180255
41,13.791945506750642,12.162656991271326,14.099104151262695,17.629048690900397
42,23.14875936449881,20.11915819915071,24.76769798321204,26.93430970017777
43,23.907443938864986,17.193812826006557,24.395555532569468,27.45471351595063
44,14.317413120749057,16.005589155420875,14.423155749645778,22.16705346555946
45,17.05818438970845,12.529312306370414,16.845515856117128,15.59166182213488
46,19.514654382335305,22.81867027837621,20.128962053153494,27.571551821258304
47,16.536611416011294,18.38739931222258,17.853267157036683,22.642901448510873
48,16.651229142458853,14.414943909091807,18.35011718072465,21.298587657372433
49,15.644943090630994,18.226192342040076,16.607249201052007,18.72878666345139
