,VRF,RF_FR,BF_WR,BF_FR,BFI_FR
0,28.491010339594222,32.63746782602414,27.80733397648306,33.2882324487134,35.32257222736594
1,25.380733491653363,30.053257191620776,25.33297994809872,33.247609882870066,33.43361903256011
2,22.642789421113246,27.596210738235687,22.10775326068235,32.59890402647988,35.02203092560102
3,22.58733433292729,26.366516087588472,23.026822782560735,27.925597555040994,32.12806452933803
4,23.38421832593222,27.026135334495983,23.73389658300466,27.473526630130625,27.628327899950875
5,22.367973224586652,24.166492378983754,23.091270455908393,25.37907912307389,25.444443885292905
6,26.104251322555168,29.8352099397678,26.009107633773226,31.867851115935423,34.155671974972066
7,24.719439364545746,26.95963064189183,25.388043193581886,27.23576161449816,28.56670576321247
8,21.800683768312567,25.173135459555954,22.815169432904955,26.759797555193508,31.985682033849944
9,22.47844708433676,23.40807566010963,23.434817080632016,26.698577200867216,26.911794567627012
10,19.367707163202674,21.211042906880596,19.889578917774383,23.439880404308568,23.19671184251564
11,23.193504487329967,25.478794961896593,24.190996102819394,25.73351571981898,27.32428441133468
12,24.364567623389142,27.455271845931325,24.763904134712124,28.14208041317295,28.272234950286755
13,24.381224512366956,26.504677558449117,24.62858460607114,27.576807745235598,28.023165925105033
14,22.43346177005703,23.0688532948938,22.64579524546597,25.108138578213776,23.74670627157721
15,27.155198884869485,29.424971491609924,27.60984590160972,30.997793964933166,30.873040721060605
16,22.279112028776726,23.43158028851625,22.70965910418551,24.477415446092486,24.359977272248663
17,24.772516281531217,28.732799992636835,25.757132365654854,30.81130252548558,31.29886529415261
18,23.418320967344684,27.29337494302685,23.685764195044104,27.606417110915608,29.557907070708936
19,23.35064502746024,26.079831199726566,23.597810308419547,26.240243172928636,28.268283333280536
20,22.214645343344795,24.00057037574116,22.17561211941585,24.59012400945692,24.769447351843613
21,26.605237900368845,27.55315835427154,26.465252741876135,29.536251310840676,31.13900951411025
22,22.56238737296867,23.1095941883587,23.022424628793225,25.218573574101377,28.03514435069928
23,23.984067974611403,27.797264811832118,23.804598650304566,31.07389783382961,31.335553170255924
24,22.640564584713506,26.141122540717042,22.936091377867193,27.52492881948326,27.620271653419167
25,24.519689759059354,27.712359625858372,24.488211185064255,31.21270755130594,29.948752437758724
26,24.730109815566305,26.893161044404366,25.203873968762153,29.927333184911596,31.259003833231453
27,26.22780864461167,29.565591614568508,26.19238538455341,30.637380206422545,34.04535817294083
28,26.494772784038773,26.960154181463032,26.80305671613991,28.145377415480752,28.27926162170893
29,22.594565738788926,25.32446478544553,22.75489016511522,28.315337636138054,28.586944563227245
30,26.115960375529834,30.003436273506534,26.8730425117711,34.02401850261332,34.81629650901963
31,24.552184935851226,27.107151260974256,24.715780437258008,28.098662774331558,27.582650067630116
32,25.31619983741765,26.40462151959784,25.97585884992523,27.917707256167173,28.139681144819377
33,24.169982692831837,24.915092012822246,24.41862574164069,27.670926091759426,30.137711129771862
34,21.29745035387172,24.824644816070393,21.367922773412943,26.118274057972886,27.100779624516672
35,23.64569028055998,28.55752226606965,23.531734568042694,31.752250671128113,30.075056677834404
36,25.624529970891064,30.302733069714005,25.905770027236063,31.147524074916742,32.94007191415721
37,25.22553615690698,28.271475069046907,25.752635953859688,29.32790929774023,30.384050441230755
38,22.025629504275624,25.285154181210977,22.44390842166864,26.891831074782797,28.127623016898507
39,27.404747153925225,28.821667209661186,27.334396877657632,32.28647639096403,32.5104685229136
40,22.19174368681264,25.891046353322754,22.729137519427535,26.178868683539157,26.03589835596617
41,24.148674239174905,26.876731438221434,23.734835387447838,30.62039978444754,29.926236018173388
42,24.78798693679787,29.985800655336057,25.027988450790104,29.90402479284897,32.733035535202795
43,24.768131169271253,26.51502854322863,24.872038943698907,27.428236064515676,29.959607084362325
44,26.143432047588604,29.020445365879777,26.412206520295907,30.7051487684754,29.35882535824471
45,22.231927103308568,24.919015758835254,22.854377541887718,26.035568697666598,27.887611381938175
46,26.19487951776131,29.154543205735127,26.76314463391155,30.558899877954314,29.85135026900597
47,21.396112120531164,21.982742693602255,21.933943134639435,22.554029641936378,22.041663592982097
48,19.275146915316146,22.595661185591776,19.137117143968215,23.503274494425426,23.1529915772285
49,24.99491753967733,27.209442990009073,25.038378757211436,27.798060064350803,28.50215848452469
